time_iso,time_ms,open,high,low,close,volume
2026-03-12T12:43:00.000Z,1773319380000,24788.1,24789.6,24783.2,24788.8,289
2026-03-12T12:44:00.000Z,1773319440000,24789.3,24803.2,24789.2,24798,374
2026-03-12T12:45:00.000Z,1773319500000,24797.7,24799.1,24786.2,24796.6,356
2026-03-12T12:46:00.000Z,1773319560000,24796.6,24796.6,24790,24794.7,298
2026-03-12T12:47:00.000Z,1773319620000,24795.3,24799.1,24787.7,24797.5,338
2026-03-12T12:48:00.000Z,1773319680000,24797,24806.6,24796.6,24803.5,369
2026-03-12T12:49:00.000Z,1773319740000,24803.8,24805.7,24794.8,24799.7,324
2026-03-12T12:50:00.000Z,1773319800000,24798.1,24803.1,24796.6,24801.2,292
2026-03-12T12:51:00.000Z,1773319860000,24801.3,24801.3,24787.3,24787.5,258
2026-03-12T12:52:00.000Z,1773319920000,24787.5,24788.8,24778.8,24779,355
2026-03-12T12:53:00.000Z,1773319980000,24779.3,24786,24778.1,24782.5,277
2026-03-12T12:54:00.000Z,1773320040000,24782,24790.2,24781.7,24787.5,287
2026-03-12T12:55:00.000Z,1773320100000,24787.2,24803,24787.2,24801.8,328
2026-03-12T12:56:00.000Z,1773320160000,24802,24802.1,24794.1,24802,310
2026-03-12T12:57:00.000Z,1773320220000,24801.3,24805.8,24799.8,24802.5,299
2026-03-12T12:58:00.000Z,1773320280000,24802.7,24804.5,24798.6,24802.6,289
2026-03-12T12:59:00.000Z,1773320340000,24803.2,24810.6,24801,24810,315
2026-03-12T13:00:00.000Z,1773320400000,24810.1,24813.1,24800.8,24803.2,393
2026-03-12T13:01:00.000Z,1773320460000,24803.1,24809.7,24800.6,24805.1,299
2026-03-12T13:02:00.000Z,1773320520000,24805.2,24812.3,24804.3,24812.1,340
2026-03-12T13:03:00.000Z,1773320580000,24812.3,24824.3,24810.6,24823,384
2026-03-12T13:04:00.000Z,1773320640000,24823,24828.8,24815.7,24818.6,366
2026-03-12T13:05:00.000Z,1773320700000,24818.3,24821.2,24810.1,24813.8,337
